Bright Garden,,,,,(+65) 6481-2018 (+65) 6481-8766,(+65) 6365-3049,"CF128, Seletar West Farmway 10  Singapore 002879",Offline,Other Lifestyle (All categories),Floral Shops,"Florists, Flower Suppliers, Plant  Retailers, Fruits, Vegetables",Singapore Plants Trading Company Importers & Exporters of Ornamental Plants & Flowers
Candy Floriculture Pte Ltd,Sharon Goh,,sales@candy.com.sg,,(+65) 6256-6788,(+65) 6250-7760,567 Thomson Road  Singapore 298183,Online,Other Lifestyle (All categories),Floral Shops,"Florists, Fresh Flowers, Foliage,  Tropical Plants, Bonsai","Singapore importer, exporter and wholesaler of fresh flowers, foliage, tropical and bonsai plants, Foliage, Plants, Live Christmas trees, tools, Pottery, Glassware, Floral foam, Floral design courses, Plant rental and display, Landscape and design"
Chen Wa Landscape Pte Ltd,,,chenwa@singnet.com.sg,http://www.chenwa.com.sg/,(+65) 6565-8622,(+65) 6565-8587,"51 Bukit Batok Crescent, #08-45 Unity Centre  Singapore 658077",Online,Other Lifestyle (All categories),Floral Shops,"Construction, Garden Tools, Landscape  Contractors, Landscape Designers","Singapore Landscape design, construction & maintenance company activities include building koi ponds & filtration, supplying ornamental plants, selling & renting plants. Construction, Garden Tools, Landscape Contractors, Landscape Designers"
Chengtai Nursery,Jasline Tan,,sales@chengtainursery.com,,(+65) 6765-3333,(+65) 6763-6337,51 Sungei Tengah Road  Singapore 698997,Online,Other Lifestyle (All categories),Floral Shops,"Landscaping, Ornamental Plants, Bonsai,  Fish Ponds, Trellis, Fencing, Timber Furniture, Wooden Decks","Singapore provider of one-stop landscape services, ranging from waterfall, koi pond, timber design works to beautifully designed gardens, created in tropical, Zen, contemporary theme setting or others. In addition, we have a wide selection of garden ornaments and furniture, exquisite Bonsai range, character Rocks and boulders. Landscaping, Ornamental Plants, Bonsai, Fish Ponds, Trellis, Fencing, Timber Furniture, Wooden Decks"
Christanio De Florist & Musical Agency,,,info@christanio.com,,(+65) 6286-0085 (+65) 6282-8701,(+65) 6285-4723,756 Upper Serangoon Road #02-51 Upper Serangoon  Shopping Centre  Singapore 534626,Online,Other Lifestyle (All categories),Floral Shops,"Gifts, Florists, Flower Suppliers, Plant  Retailers","Singapore Florist that provides flowers for wedding, anniversary, birthday, hand bouquets, flower baskets, get well soon, grand opening, love & romance, new born, table arrangement, office arrangement, condolences, Gifts, Florists, Flower Suppliers, Plant Retailers"
Christsoning Florist,,,,,(+65) 6270-9800,(+65) 6270-5664,"124 Bukit Merah Lane 1, #01-144  Singapore 150124",Offline,Other Lifestyle (All categories),Floral Shops,"Artificial Flowers, Artificial Plant  Components, Flowers, Landscaping Contractors, Wedding  Services, Wedding Supplies","Singapore Florists Suppliers of Artificial Flowers, Artificial Plant Components, Flowers, Funeral Directors Supplies, Landscaping Contractors, Wedding Services, Wedding Supplies"
D & J Florist,,,,,(+65) 6294-4087,(+65) 6294-9074,"464 Crawford Lane, #01-05 Crawford Centre  Singapore 190464",Offline,Other Lifestyle (All categories),Floral Shops,"Florists, Flower Suppliers, Plant  Retailers, Gifts, Bridal Supplies","Singapore Florists, Flower Suppliers, Plant Retailers, Suppliers of Gifts, Bridal Supplies, Artificial Flowers, Plant Components, Plant Accessories, Greeting Cards, Flowers, Landscaping Contractors, Wedding Services"
Chwee Nursery Pte Ltd,,,,,(+65) 6481-5703,(+65) 6481-5703,Lot 107 9 Seletar West Farmway 7  Singapore 798017,Offline,Other Lifestyle (All categories),Floral Shops,"Nurseries, Flower Suppliers, Plant  Retailers","Singapore Garden Centre, Plant Nursery Suppliers of Plants, Flowers. Flower Suppliers, Plant Retailers"
Chye Heng Orchird Garden,,,shane@plants.com.sg,,(+65) 6449-0585,(+65) 6449-9585,Lot 2011 Bedok Rd  Singapore 460000,Online,Other Lifestyle (All categories),Floral Shops,"Nurseries, Flower Suppliers, Plant  Retailers, Wedding Supplies, Wedding Services","Singapore Nurseries, Singapore Flower Suppliers, Singapore Plant Retailers, Wedding Supplies, Wedding Services"
GiftsArtist,nan,,nan,nan,nan,nan,nan,Offline,Other Lifestyle (All categories),Floral Shops,nan,"Singapore suppliers of Hampers, Gourmet Hampers, Wine Hampers, Fruit Hampers, Well Wishes Hampers, Corporate Hampers, Flowers, Hand Bouquets, Flower Table Arrangements, Grand Opening Flowers, Condolences Wreaths, Cupcakes, Customized Cakes, Mums & Babes Gifts, Gifts For Him, Gifts For Her, Housewarming Gifts, Thank You Gifts, Apology Gifts"
O Yes Florist & Gift,,,,,(+65) 94502-883,(+65) 6466-1312,"28a Jalan Selaseh, #01-04  Singapore 808446",Offline,Other Lifestyle (All categories),Floral Shops,"Florists, Flower Suppliers, Plant  Retailers, Giftware, Gifts, Gift Shops","Singapore Florists, Flower Suppliers, Plant Retailers, Giftware, Gifts, Gift Shops. Suppliers of Flowers, Gift Services, Giftware, Hampers, Wedding Banquet Restaurants, Wedding Planners"
Chye Heng Orchird Garden,,,shane@plants.com.sg,,(+65) 6449-0585,(+65) 6449-9585,Lot 2011 Bedok Rd  Singapore 460000,Online,Other Lifestyle (All categories),Floral Shops,"Nurseries, Flower Suppliers, Plant  Retailers, Wedding Supplies, Wedding Services","Singapore Nurseries, Singapore Flower Suppliers, Singapore Plant Retailers, Wedding Supplies, Wedding Services"
