Bizlink Associates (S) Pte Ltd,,,main@bizlink-lighting.com.sg,,(+65) 6747-7116 (+65) 6841-0541,(+65) 6841-0547,27 Ubi Rd 4 #03-01  Singapore 408588,Online,Furniture,Lighting,"Lamps, Lighting, Lighting Products,  Electrical, Electronic Components","Singapore Lighting Company, Lighting Fixtures Wholesalers & Manufacturers Suppliers of Lamps, Lighting, Lighting Products. Involved in the supply, design, installation, & maintenance of interior & exterior lighting products by Modular, Hydrel, Schreder etc for offices, homes, hotels, & factories. Has presence in Indonesia, Malaysia"
Centro Pro Sound & Lights,Lewis Goh,,info@centroprosoundlights.com,,(+65) 6292-3394,(+65) 6292-3394,10 Jalan Besar #01-05 Sim Lim Tower  Singapore 208787,Online,Furniture,Lighting,"Audio Visual Equipment, Lamps, Lighting  Fixtures, Entertainment Equipment","Singapore Audio Equipment Company Suppliers of Audio Visual Equipment, Lamps, Lighting Fixtures, Entertainment Equipment"
Chalmit Lighting (Asia Pacific),,,asia-pacific@chalmit.com,,(+65) 6282-2242,(+65) 6284-4244,130 Joo Seng Road #03-02  Singapore 368357,Online,Furniture,Lighting,"Lighting, Electrical Products,  Fluorescent, Floodlights, Escape Route Lights,  Bulkhead, Wellglass, Low Bay Lighting, Street Lighting","Singapore supplier of premium quality LED, fluorescent and HID lighting products for use in hazardous area, industrial and marine environments. Lighting, Electrical Products, Fluorescent, Floodlights, Escape Route Lights, Bulkhead, Wellglass, Low Bay Lighting, Street Lighting"
Chan Huat Electric Pte Ltd,,,enquiries@chanhuat.com.sg,,(+65) 6255-1033,(+65) 6253-1130,383 Balestier Road  Singapore 329794,Online,Furniture,Lighting,"Lamps, Lighting Fixtures, Outdoor  Lighting, Light Fixtures, Landscape Lighting, Outdoor  lighting","Singapore Suppliers of Lighting and Lighting Accessories, Lamps, Lighting Fixtures, Outdoor Lighting, Light Fixtures, Landscape Lighting, Outdoor lighting"
Channel-Link Lighting Pte Ltd,,,,,(+65) 6858-2821 (+65) 6748-4408,(+65) 6858-2831 (+65) 6748-5424,"71 Ubi Crescent, #03-06 Excalibur Centre  Singapore 408571",Offline,Furniture,Lighting,"Lamps, Lighting Fixtures, Landscape  Lighting, Cable Support Systems","Singapore Lighting Company Suppliers of Outdoor Lighting, Light Fixtures, Landscape Lighting, Lighting Fixtures, Recessed Lighting, Outdoor lighting, Cable Equipment, Cable Tools, Cable Ladder Support Systems, Cable Trays, Electrical Equipment, Floodlights, Fluorescent Light Fittings, High Bay Lighting, Incandescent Lighting"
Chartered Asia Technology Enterprise,,,john@charteredasia.com,,(+65) 6748-3179,(+65) 6748-1739,10 Ubi Crescent #03-90 Ubi Techpark  Singapore 408564,Online,Furniture,Lighting,"Airfield Lighting, Building Automation,  Industrial Control Systems, Electrical Components,  Electrical Equipment, Electronics Equipment","Singapore Airfield Lighting Company Suppliers of Approach Centreline & Cross Bar Lights, Runway Threshold Lights, Runway Edge Lights, Runway Wing Bar Lights, Wireless Lamp Failure Monitoring and Control Systems, Taxiway Guidance Sign Systems"
Chen Yi Industrial (S) Pte Ltd,,,,,,,10 Kaki Bukit Road 1 #01-38 Kb Industrial Building  Bedok  Singapore 416175,Offline,Furniture,Lighting,"Energy Saving Lamps, CFL's, Fluorescent  Lamps, Lighting Fixtures, Lights,  Lamps","Singapore Lighting Company Suppliers of Energy Saving Lamps, CFL's, Fluorescent Lamps, Lighting Fixtures, Energy Saving Lights, Energy Saving Lighting Products"
Chiap Seng Productions Pte Ltd,DOROTHY LIM,,admin@chiapseng.com.sg,,(+65) 6284-1535,(+65) 6281-2991,11 Defu Lane 11  Singapore 539167,Online,Furniture,Lighting,"Chairs, Tables, Rental, Lighting Systems,  Sound Systems, Tents, Gazebos","Singapore Event Equipment Rental Company Suppliers of Multi-tiered seating gallery, Festive street light fittings, Lighting systems & equipments, Sound systems & equipments, Stage design & construction, Scaffolding systems, Tents & gazebos, Air-conditioning & related accessories, Generator rental service, Chairs & tables rental service, Modular float rental service"
Choon Huat Engineering Pte Ltd,,,hr@choonhuat.com.sg,,(+65) 6862-2222,(+65) 6862-0232,6 Joo Koon Crescent  Singapore 629010,Online,Furniture,Lighting,"Construction Equipment, Lighting,  Loaders, Rollers, Welding  Generators, Air Compressors, Excavators, Fork Lifts, Aerial  Platforms","Singapore Construction Equipment Company Suppliers of Generators, Air Compressors, Construction Equipment, Lighting, Loaders, Rollers, Welding Excavators, Fork Lifts, Aerial Platforms, Welding Equipment & Supplies, Welding Equipment, Mechanical Equipment, Plant & Machinery, Generators - Renting. Provider of marine & Construction Equipment"
Choong Ying Trading,,,,,(+65) 6896-2452,(+65) 6896-2451,"2 Jurong East Street 21, #02-27 Imm Building  Singapore 609601",Offline,Furniture,Lighting,"Lamps, Lighting, Home Appliances, Ceiling  Fans, Water  Heaters, Electrical Equipment, Plugs, Sockets","Singapore Electrical Equipment Company Suppliers of Ceiling Fans, Domestic Appliances, Domestic Water Heaters, Electrical Equipment, Electrical Plugs, Electrical Sockets, Fan Accessories, Fans, Lighting Accessories, Lighting Fixings"
Chop Hock Hong,EE YUAN SWEE,,info@chophockhong.com.sg,,(+65) 6294-9564 (+65) 6297-1041,(+65) 6293-8678 (+65) 6296-8017,"330 / 332, King George's Avenue, King George's  Building,  Singapore 208569",Online,Furniture,Lighting,"Car Parts, Auto Supplies, Automobile  Parts","Singapore Auto Parts Company Suppliers of Car Parts, Auto Supplies, Automobile Parts, Automotive Electrical Parts & Accessories like - Starter, Alternator and their spare parts for vehicles, marines and industrial engines; Off Engine Switch, Hydaulic Motor, Relay, Air Con Parts, Generator AVR; Bulbs, Working Lamps, Beacons"
Chroma City Pte Ltd,,,sales@chromacityled.com,,(+65) 6899-2948,(+65) 6899-2169,"9, Jurong Town Hall Rd, #01-03 Ihub Building  Singapore 609431",Online,Furniture,Lighting,"Construction & Renovation, LED lighting,  LED tube, LED downlight, LED strip, LED bulbs","Singapore Lighting Company Suppliers of LED lighting, LED tube, LED downlight, LED strip, LED bulbs. A company established in Singapore specialized in total LED lighting solution. We have a wide range of products such as LED tube, LED modules, LED bulbs, LED wallwasher, LED ground, LED downlights, LED PAR lights, LED color strips"
Chung Ka Enterprises Pte Ltd,Zheng Chi,Director,sct20001@singnet.com.sg,,(+65) 6226-5888,(+65) 6226-5666,Blk 10 Kaki Bukit Road 1 #01-39 Kaki Bukit  Industrial Park  Singapore 416175,Online,Furniture,Lighting,"Lighting Fixtures, Lights, Lamps,  Telecommunications Equipment, Telecoms Systems","Singapore Wholesalers of Lighting & Electrical Goods, Lighting Fixtures, Lights, Lamps, Telecommunications Equipment, Telecoms Systems"
Cicada Control Engineering,,,,,(+65) 6292-0867,,4 Kallang Pudding Rd #05-01  Singapore,Offline,Furniture,Lighting,"Electrical Components, Electrical  Equipment, Electronics Equipment","Singapore Electrical Contractors, Electrical Services, Electricians, Electrical Engineers, Interior turnkey contracts to offices, factories and retail shops, False ceiling and Partition, Electrical wiring, lighting, telephone, computer points cabling, Aluminium window grilles, Window blinds, Carpark, Industrial Floor Painting, Protection coating, Preparation of drawings,"
Cine Equipment Pte Ltd,,,,,(+65) 6252-5089,(+65) 6255-1981,20 Maxwell Road #06-03 Maxwell House  Singapore 69113,Offline,Furniture,Lighting,"Motion Picture Equipment, Lighting, Movie  Cameras, Film Equipment","Singapore Motion Picture Equipment Company Suppliers of Lighting, Movie Cameras, Film Equipment, Camera Supports, Professional Film Equipment, Professional Digital Equipment, Lighting Grips, Lighting Equipment, Broadcast Equipment, Professional Lenses, Batteries, Battery Chargers, Lcd Monitors, Cranes, Dollies, Track & Jib Arms, Camera Rentals, Lighting Rentals, Grips Rentals, 3D Rigs"
Cing Dien Electric Pte Ltd,,,,,,,,Offline,Furniture,Lighting,,"Singapore Lighting Company Suppliers of Fluorescent Lighting Fluorescent Lighting Fixtures, Fluorescent Lights, Fluorescent Lamps"
D.Y Construction & Production Pte Ltd,,,,,(+65) 6365-4753,(+65) 6365-8308,17 Sungei Kadut Way  Singapore 728776,Offline,Furniture,Lighting,"Events Promotion, Event Managers,  Exhibition Organisers, Interior Decoration Contractors,  Interior Decorators, Interior Designers, Interior Design  Consultants, Building Contractors, Construction Contractors","Singapore Events Promotion, Event Managers, Exhibition Organisers, Interior Decorating Services, Directory Display Boards, Display Designers, Display Producers, Display Suppliers, Display Systems, Event Decorating Services, Event Management, Flags, Furniture Design, Furnishing Services, Interior Design Consultancy, Interior Designers, Interior Planners, Lighting, Outdoor Advertising, Party Event Organizing, Party Planning, Party Supplies, Plastic Signs, Screen Printing Equipment Supplies, Sign Systems, Silk Screen Printing, Stages, Store Fitting Lighting, Wedding Services, Wedding Supplies, Wood Signs"
E T Graphics Pte Ltd,,,enquiry@etg.com.sg,http://www.etg.com.sg,(+65) 6299-3333,(+65) 6299-1880,31 Tessensohn Road  Singapore 217655,Online,Furniture,Lighting,"Graphic Design Agencies, Graphic  Designers, Graphic Artists, Audio Visual Equipment, Computer  Animation Services, Computer Products, Computer Systems,  Computer Accessories, IT Consultants, Events Promotion,  Event Managers, Exhibition Organisers, Conference Organisers,  Lighting Fixtures, Stage Lights, Lamps","Singapore Graphic Design Agencies, Graphic Designers, Graphic Artists, Audio Visual Equipment, Computer Animation Services, Computer Products, Computer Systems, Computer Accessories, IT Consultants, Events Promotion, Event Managers, Exhibition Organisers, Conference Organisers, Lighting Fixtures, Stage Lights, Lamps"
Eastgear Pte Ltd,,,,,(+65) 6837-1582,(+65) 6837-1583,Hola Centre 65 Ubi Crescent #07-07 Singapore,Offline,Furniture,Lighting,"Electrical Components, Electrical  Equipment, Electronics Equipment, Electronic Equipment,  Electronic Components, Electronics Suppliers","Singapore Electronics Company Suppliers of GPS Navigation, GPS Accessories, Batteries, Battery Chargers, Camera Devices, Portable Storage, Solid State Disk Drives, Photography Accessories, Tripods, Studio Lights, Lens Caps, Iphone, Ipad"
Faber Image Media Pte Ltd,,,sales@faberimage.com.sg,www.faberimage.com.sg,(+65) 6841-5583,(+65) 6841-7743,"5 Kaki Bukit Place, #04-00  Singapore 416183",Online,Furniture,Lighting,"Events Promotion, Event Managers,  Exhibition Organisers, Conference Organisers, Advertising  Agency, Media Services, Video Tape, Film Production,","Singapore team of versatile audio engineers and lighting. From print material, to event graphics and media, right down to event souvenirs. Advertising Services, Marketing Services, Broadcasting Services, Film Production Services, Broadcasting Equipment, Film Production, Event Management, Interactive Media Design, Movie Theater Film Distribution, Multimedia Production, Seminar Equipment"
Oakwell Engineering Ltd,Low Beng Tin,,fannylee@oakwell.com.sg,www.oakwell.com.sg,(+65) (+65) 6742-8000,(+65) (+65) 6742-3000,8 Aljunied Avenue 3 Oakwell Building  Singapore 389933,Online,Furniture,Lighting,"Electrical Accessories Electrical  Equipment Air-Conditioning,  Refrigeration & Ventilation Works, Fire Prevention &  Protection Systems, Electrical & Electronic Materials,  Products & Components","Singapore Offshore Supplies Trading Company Suppliers of Marine Equipment, Air Blowers, Marine & Offshore Cables, Compressor-Air, Compressor-Gas, Condition Monitoring Products, Electrical Heaters, Temperature Control Solutions, Filters, Fire Protection & Safety Equipment, Grout Seals and Diaphragms, Heat Recovering Equipment, Heat Tracing, HVAC, Identity Security Systems, Lighting, Marine Aids, Material Handling Equipment, Nitrogen Generators, Piping, Pumps, Slip Rings, Strainers, Touch Monitors, Vacuum Equipment, Valves, Vessels"
