Benaka Art Conservation,,,,http://www.benakaartconservation.com,,, Singapore,Online,Other Lifestyle (All categories),"Art Galleries, Bookshops","Conservationists, Picture Frames, Art  Storage Boxes","Singapore Art Conservationists, Picture Frames, Art Storage Boxes. Singapore-based specialist in conservation & restoration of works of art on paper, & paintings; offers preventive conservation, survey & documentation of art collections, training programmes, acid-free frames & storage boxes"
Blue Lotus Fine Art,,,,,(+65) 6457-9192,,6 Napier Road  Singapore 258499,Offline,Other Lifestyle (All categories),"Art Galleries, Bookshops",Art Galleries,"Singapore Art gallery promoting local & South East Asian artists; sells & exhibits ceramics, paintings, prints, photographs, sculpture, & specialised handicrafts; conducts art appreciation classes. Offers art framing services"
Bodhi Art Pte Ltd,,,,,(+65) 6235-1497,(+65) 6235-1059,"11, Unity St #01-19  Singapore 237995",Offline,Other Lifestyle (All categories),"Art Galleries, Bookshops","Art Galleries, Art Dealers, Antiques","Singapore Art Gallery, Art Dealers, Antiques Dealers. Singapore Promoters of contemporary fine arts with galleries in Singapore and India"
Ceramic House,,,ceramic_house@yahoo.com.sg,,(+65) 6784-0024,(+65) 6784-0024,Blk 9004 Tampines St 93 #02-102  Singapore 528838,Online,Other Lifestyle (All categories),"Art Galleries, Bookshops","Pottery Studio, Pottery Courses","Singapore Pottery Studio, Singapore Pottery Courses, Pottery courses from Basic to Advance level"
Christie's International Singapore,,,Singaporewtang@christies.com,,(+65) 6235-3828,(+65) 6235-8128,Wheelock Place 501 Orchard Rd #19-03  Singapore 228221,Online,Other Lifestyle (All categories),"Art Galleries, Bookshops","Art Auction Services, Asset Appraisers,  Valuers","Singapore Auctioneers, Singapore Art Auction Services, Singapore Asset Appraisers, Singapore Valuers"
Alkem Company (Singapore) Pte. Ltd,,,,,(+65) 6265-6666,(+65) 6261-7881,1 Penjuru Cl Singapore 608617,Offline,Other Lifestyle (All categories),"Art Galleries, Bookshops","Books, Book Dealers, Book Shops, Book  Stores, Book Retailers, Publishers","Singapore Publishing Company, Book Dealers, Book Shops, Book Stores, Book Retailers, Publishers. A leading publisher of educational books, training kits, e-learning and educational materials and digital contents distributor."
All-star Publishing (Singapore),Anthony Lee ,,,,(+65) 9633-2598,(+65) 9633-2598,Anthony Lee  52 Woodlands Street 13 #05-01 / #05-04 Singapore 738603,Offline,Other Lifestyle (All categories),"Art Galleries, Bookshops",Singapore Mathematics and Science  Assessment Books,Singapore publishing firm which produces Mathematics and Science Assessment books. Our aim is to produce quality educational resources mainly for schools as well as the general public to enhance the learning experience of school students.
Alliance Advanced Sales Distributor,,,,,(+65) 6285-2559,,1006 Tai Seng Ave #01-2598 Singapore,Offline,Other Lifestyle (All categories),"Art Galleries, Bookshops","Bookbinders Equipment, Bookbinding  Supplies","Singapore Suppliers of Bookbinders Equipment, Bookbinding Supplies, Bookbinding Equipment Bookbinding Supplies"
Anata Solutions Pte Ltd,,,,,(+65) 6747-4361,,"627A, Aljunied Rd #10-04 Singapore 389842",Offline,Other Lifestyle (All categories),"Art Galleries, Bookshops","Book Publishers, Publishing Consultants","Singapore Book Publishers, Publishing Consultants"
Andalus Corporation Company,,,,,(+65) 6784-8769,(+65) 6363-2091,"361, Tampines St 34 #01-401 Singapore 520361",Offline,Other Lifestyle (All categories),"Art Galleries, Bookshops","Book Publishers, Publishing Consultants","Singapore Book Publishers, Singapore Publishing Consultants"
Angel Book Centre,,,,,(+65) 6734-0669,,"14, Scotts Rd #03-78 Far East Plaza Singapore 228213",Offline,Other Lifestyle (All categories),"Art Galleries, Bookshops","Books, Book Dealers, Book Shops, Book  Stores, Book Retailers","Singapore Book Dealers, Book Shops, Book Stores, Book Retailers. Unpretentious Rental Book Store"
APAC Publishers Services Pte Ltd,"Steven Goh  8, Lor Bakar Batu",,service@apacmedia.com.sg,,(+65) 6844-7333,(+65) 6747-8916,"Steven Goh  8, Lor Bakar Batu #05-02 Singapore 348743",Online,Other Lifestyle (All categories),"Art Galleries, Bookshops","Book Publishers, Publishing Consultants","Singapore Book Publishers, Publishing Consultants. Wholesale distributor for major academic and professional publishers from USA, UK, Germany, Switzerland, Australia and South Africa."
Asia Book Company,,,,,(+65) 6844-0787,(+65) 6251-1581,1 Butterworth Lane #04-04 Dawn Ville Singapore 439444,Offline,Other Lifestyle (All categories),"Art Galleries, Bookshops","Books, Book Dealers, Book Shops, Book  Stores, Book Retailers","Singapore Book Dealers, Book Shops, Book Stores, Book Retailers"
Asia City Publishing Pte Ltd,,,,,(+65) 6323-2512,,180 Cecil Street #13-01 Bangkok Bank Building Singapore 69546,Offline,Other Lifestyle (All categories),"Art Galleries, Bookshops","Book Publishers, Publishing Consultants,  Media & Entertainment","Singapore Book Publishers, Publishing Consultants. Publishers of Newspapers, Books and Periodicals"
Asiawide Print Holdings Pte Ltd,,,,,(+65) 6858-3363,(+65) 6858-3665,31 Ubi Road 1 #03-03 Aztech Building Singapore 408694,Offline,Other Lifestyle (All categories),"Art Galleries, Bookshops","Printers, Printing Service, Graphic  Designers, Translators","Singapore Printers, Printing Services, Graphic Designers, Translators, Advertising and Creative Graphics Design, Corporate Logo Creation and Identity Branding, Copyrighting, Translation, Editorial Services, Books Publishing, Booklets"
Attributes Pte Ltd,,,,,(+65) 6795-7787,(+65) 6795-7737,"1, Jurong West St 91 #01-00 Singapore 649041",Offline,Other Lifestyle (All categories),"Art Galleries, Bookshops","Books, Book Dealers, Book Shops, Book  Stores, Book Retailers","Singapore Book Dealers, Book Shops, Book Stores, Book Retailers"
Bible Society of Singapore,,,info@bible.org.sg,,(+65) 6337-3222,,"7 Armenian Street, Bible House  Singapore 359340",Online,Other Lifestyle (All categories),"Art Galleries, Bookshops",Religious Organizations,Singapore Supplier of Bibles & scriptures in many languages to churches & Christian bookshops; distributes the Bible at subsidised rates for evangelistic purposes & to the poor in Singapore; part of United Bible Societies
Blangah Books & Stationery Centre,,,,,(+65) 6270-0895,(+65) 6270-8728,"65, Telok Blangah Dr  Singapore 100065",Offline,Other Lifestyle (All categories),"Art Galleries, Bookshops","Stationery Supplies, Books, Book Dealers,  Book Shops, Book Stores","Singapore Book Shop Suppliers of Books, Magazines, Stationery Supplies, Office Supplies"
Bookaburra Books Pte Ltd,,,enquiries@bookaburra.com,,(+65) 6286-1303,(+65) 3286-1292,"25, Harrison Rd #06-00  Singapore 369646",Online,Other Lifestyle (All categories),"Art Galleries, Bookshops","Book Shops, Book Dealers","Singapore Book Shop, Book Dealers, Children's bookseller having retail outlet at Forum The Shopping Mall; has a wide selection of children's books, particularly a fine range from Australian publishers and organises regular book fairs in the local schools and international schools in Singapore"
Books & More Pte Ltd,Brian Lim,,info@pms.com.sg,,(+65) 6256-5166,,10-C Jalan Ampas #07-01 Ho Seng Lee Flatted  Warehouse  Singapore 329513,Online,Other Lifestyle (All categories),"Art Galleries, Bookshops","Book Shops, Book Dealers, Book Publishers","Singapore Book Distribution Company. Distributors of adult and high quality children's library books in Singapore. Also distributes a wide range of products, including books, audio, video, multimedia CD-ROM's and related services to retail stores and libraries."
BooksActually,,,,,(+65) 6222-9195,,86 Club Street  Singapore 069454,Offline,Other Lifestyle (All categories),"Art Galleries, Bookshops","Bookshops, Publishers, Stationery",Singapore bookstore and Book Publishers specialising in literature. Publishes and distributes books. Also hand-stitches notebooks & produces stationery products
Borders Books Music & Cafe,,,,,(+65) 6235-7146,,"501, Orchard Rd #01-00  Singapore 238880",Offline,Other Lifestyle (All categories),"Art Galleries, Bookshops","Book Shops, Book Dealers, Bookshops,  Gifts","Singapore Book Shops, Book Dealers, Bookshops, Gift Stores. Two stores in Singapore, Marine Parade, Orchard Road Sales of over 200,000 books, music DVDs, local magazines, imported magazines, designer stationery and gifts"
Carkit (Fast East) Pte Ltd,Andy Tan,Managing Director,carkit@singnet.com.sg,,(+65) 6282-8618,(+65) 6282-7098,3 New Industrial Road #04-02B/C Kimly Building (Off  Paya Lebar Road)  Singapore 537126,Online,Other Lifestyle (All categories),"Art Galleries, Bookshops","Magazine Distributors, Publisher's  Representative","Singapore Magazine Distributors, Magazine publishers includes titles of diverse interests in our distribution service in various territories. Publisher's representative, representing publishers from Australia, Europe, Hong Kong, U.K., U.S., and Taiwan."
Casco Publications Pte Ltd,Peter Low Hock Eng,Managing Director,casco@magix.com.sg,,(+65) 6748-3101,(+65) 6748-9139,53 Ubi Avenue 1 #05-54 Paya Ubi Industrial Park  Singapore 408934,Online,Other Lifestyle (All categories),"Art Galleries, Bookshops","Book Publishers, Publishing Consultants,  Books, Book Dealers, Book Shops, Book Stores","Singapore Book Publishers, Publishing Consultants, Books, Book Dealers, Book Shops, Book Stores. Publishing; retailers & distributors of stationery books and magazines"
Chee Seng Book Store Pte Ltd,,,cheesen@singnet.com.sg,,(+65) 6488-1612,(+65) 6487-2806 (+65) 6487-2800,24 New Industrial Road #06-02 Pei Fu Building  Singapore 536210,Online,Other Lifestyle (All categories),"Art Galleries, Bookshops","Gifts, Stationery, Calendars, Desk  Diaries, Table Planners, Greeting Cards","Singapore Stationery Company Suppliers of calendars, diaries, greeting cards, leather products, Ready-made & Tailor-made Calendars, All Kinds of Diaries, Management Diaries, Desk Diaries, Table Planners, Organisers, Portfolio, Leather, PU Products, Christmas & Chinese New Year Cards, Wire-O Binding Services"
Choose & Hunt Enterprises Pte Ltd,"Annie Song ,",,sunnyway25@yahoo.com,,"(+65) 6336-4236 (+65) 6883-0708,","(+65) 6353-5441 (+65) 6883-0443,",,Online,Other Lifestyle (All categories),"Art Galleries, Bookshops","Publishing Consultants, Media Sevices","Singapore Magazine Publishers, Publishing Consultants, Media Services. Publisher of ""Young Times"" Magazine"
Chuang Yi Publishing Pte Ltd,Rony Neo,,info@chuangyi.com.sg,,(+65) 6274-8713 (+65) 6276-7274,(+65) 6276-7314 (+65) 6278-0253,"1003 Bukit Merah Central, Redhill Industrial  Estate, #02-01/02/03/04/05  Singapore 159836",Online,Other Lifestyle (All categories),"Art Galleries, Bookshops","Comics Distributors, Publishers,  Publishing Consultants, Media Services","Singapore Publishers of Manga (Japanese comic books) & magazines; Comics Distributors, Publishers, Publishing Consultants, Media Services"
Christian Growth Resources Ltd,Dr Tan Khian Seng,,growthtraining@gmail.com,,(+65) 6270-9677 (+65) 6337-6876,(+65) 6337-5279,"179, River Valley Rd #05-15  Singapore 179033",Online,Other Lifestyle (All categories),"Art Galleries, Bookshops","Book Shops, Book Dealers","Singapore Christian Book Shops, Singapore Christian Book Dealers, Wholesale, Book Shops. Dr Tan Khian Seng and his wife founded Christian Growth Resources in 1982.They began their ministry conducting seminars, conferences and worship evenings for the Body of Christ in Singapore and Malaysia."
D'chee Craftshops,,,,,(+65) 6776-0551,,"501, West Coast Dr #01-288  Singapore 120501",Offline,Other Lifestyle (All categories),"Art Galleries, Bookshops","Art Goods, Art Supplies, Craft Supplies,  Artificial Flower Components, Handicrafts","Singapore Handicrafts Company Suppliers of Beads, Handicraft Books, Clothing, Glass, Glass Working Tools, Glass Working Equipment, Handicraft Materials, Hobby Materials, Handicraft Supplies, Hobby Services, Knitted Fabrics"
