Chatsworth Group of Schools,,,,,(+65) 6737-5955,,"37 Emerald Hill Road, Singapore  Singapore 229313",Offline,Education,Nursery,"Schools, Education","Singapore Education Group consisting of Chatsworth Early Years in Jalan Kayu which is locally registered, an international Early Years and Junior Programme school in Jalan Tembusu, Katong, and a full Early Years to High School campus in Emerald Hill"
Cheery Infant & Child Care Pte Ltd,,,,,(+65) 6343-6047,,"62, Jln Naung  Singapore 537727",Offline,Education,Nursery,"Child Care Centres, Nurseries, Schools,  Education Facilities","Singapore Child Care Centres, Nurseries, Infant and child care from 2mths - 6 years old. Interactive Programmes, Reading (English, Chinese), Language Arts, E-Science, I-Mathematics, Abacus, Speech & Drama, Sand &Water Play, Cookery, Phonics, Creative Writing, Music & Movement, Water Confidence Course, Information Technology, Sunrise Cramble Literacy Programme (Mandarin), Educational Fieldtrips, Montessori Programme"
Chen Su Lan Methodist Children's Home,,,,,(+65) 6285-4941,(+65) 6285-4941,"202, Serangoon Garden Way, Chen Su Lan Methodist  Children's Home  Singapore 556057",Offline,Education,Nursery,"Child Care Centres, Nurseries,  Kindergartens, Schools, Education Facilities","Singapore Child Care Centre, Nursery, Kindergarten. Half day and full day programmes are available to children aged 2 to 6 years of age. This service is extended to children from the Residential Home as well as the general public from 7am to 7pm. The Centre provides a conducive learning environment which works to enhance the intellectual, physical, emotional, social development of the children. Indoor, Outdoor Play, Language Arts (English/Chinese), Numeracy Skills, Science Discovery, Creative Art and Crafts, Music and Movement, Reading Programme, Moral Education, Cookery, Computer (interesting games)"
Cherie Hearts Junior Academy Pte Ltd,,,,,(+65) 6789-1033,,"896, Tampines St 81 #01-876  Singapore 520896",Offline,Education,Nursery,"Child Care Centres, Nurseries,  Kindergartens, Schools, Education Facilities","Singapore Child Care Centres, Singapore Nurseries, Singapore Kindergartens, Singapore Schools, Education Facilities"
Child At Street 11,nan,,nan,nan,nan,nan,nan,Offline,Education,Nursery,nan,"Singapore Child Care Centres, Nurseries, Kindergartens, Schools, Education Facilities, Has integrated programmes to help children from problem homes."
childcarecam.com.sg,nan,,nan,nan,nan,nan,nan,Offline,Education,Nursery,nan,"Singapore Education Internet Portals, Parenting Portals, Child Care. Information about Child Care Centres, Nurseries, Kindergartens, Schools, Education Facilities in Singapore"
ChildFirst,,,contactus@childfirst.com.sg,,(+65) 6440-4466,,229 Mountbatten Road #01-32 Mountbatten Square  Singapore 398007,Online,Education,Nursery,"Child Care Centres, Nurseries,  Kindergartens, Schools, Education Facilities","Singapore Child Care Centres, Nurseries, Kindergartens, Schools, Education Facilities. Wholly owned subsidiary of Ednovation, a pioneer in Singapore preschool educational technology since 1991."
Childland Pte Ltd,,,,,(+65) 6454-8365,,"409, Sin Ming Ave #03-01  Singapore 570409",Offline,Education,Nursery,"Child Care Centres, Nurseries,  Kindergartens, Schools, Education Facilities","Singapore Child Care Centres, Nurseries, Kindergartens, Schools, Education Facilities. Phonics, English Reading Programmes, Poems, Rhymes & Fingerplays, English Language Activities, Chinese Reading Programmes, Chinese Language Activities, Arts & Crafts, Numbers & Counting, Science & Experiments, Music & Movements, Moral Education, Waterplay (Indoor Waterpool), Gross Motor Activities (Indoor Playground), Cookery Lessons, Field Trips & Excursions, Outdoor Nature Walk & Exploration, Supervised Assessments & Revisions"
Chiltern House,,,,,(+65) 6737-1966 (+65) 6299-5161,,"5, Halifax Road  Singapore 229259",Offline,Education,Nursery,"Child Care Centres, Nurseries,  Kindergartens, Schools, Education Facilities","Singapore Child Care Centres, Nurseries, Kindergartens, Schools, Education Facilities. Full and half-day childcare, Comprehensive nursery and kindergarten, Interactive, child-based curriculum, Learning support and therapy, Nursery One 2 to 3 years old, Nursery Two 3 to 4 years old, Kindergarten One 4 to 5 years old, Kindergarten Two 5 to 6 years old"
Chinese International School (CNIS),Wang Zhize,Director,admin@cnis.edu.sg,,(+65) 6254-0200,(+65) 6252-5120,60 Dunearn Road  Singapore 309434,Online,Education,Nursery,"Education, Kindergarten, Primary School,  Middle School, High School","Singapore Multicultural, multilingual international school with programmes for pre- kindergarten to high school. CNIS is nestled in a picturesque up-scale residential neighbourhood along Bukit Timah Road, with several prestigious local and international schools nearby"
Chrysalis Child Care Centre,,,,,(+65) 6858-0168,,"23, Jln Teliti  Singapore 537319",Offline,Education,Nursery,"Child Care Centres, Nurseries,  Kindergartens, Schools, Education Facilities","Singapore Child Care Centres, Nurseries, Kindergartens, Schools, Education Facilities. This child care is part of the C-Nergy franchise. Child care from 18mths - 6 years old."
