name,profile,url,categories,description,tel,fax,contact,email,website,address,data_source,designation,poc,online
Business Equipment & Electrical Service,"Singapore Office Furniture & Office Equipment Dealers, Suppliers of Steel and Wooden Office Furniture, such as Computer Tables, Wooden Conference Tables, Lockers, Storage Systems, Cabinets, Filing Cabinets, Steel Racks, Office Desks, Steel Folding Tables, Steel Folding Chairs, Steel Beds, Office Seating, Executive Chairs, Task Chairs, Meeting Chairs, Visitor's Chairs, Bar Stools, Plastic Chairs, Executive Leather Chairs, Magnetic White Boards, Notice Boards",http://singapore-companies-directory.com/Company_Profiles/B80/business_equipment_electrical.htm,"Office Furniture, Office Equipment  Dealers",,(+65) 6733-6969,(+65) 6235-9086,,,,Blk 1 Jln Kukoh #02-209/211  Singapore 161003,singapore-companies-directory.com,,,Offline
C&R Interiors Pte Ltd,"Singapore office furnishing and renovation company, manufacturers and distributors of office furniture and fittings for industrial, commercial and residential users.",http://singapore-companies-directory.com/Company_Profiles/C5/c_r_interiors.htm,"Office Supplies, Office Furniture, Office  Renovation",,(+65) 6488-0577,(+65) 6488-0588,Alan Ng Director,admins@cnrinteriors.com.sg,,Block 5049 Ang Mo Kio Industrial Park 2 #01-629  Singapore 569552,singapore-companies-directory.com,Director,Alan Ng,Online
C V Henri Rattan Industries,"Singapore Rattan Furniture Company Suppliers of Rattan Furniture, Reed Furniture, Rattan Home Furnishings, Willow Furniture Manufacturers, Furniture Stores, Furniture Dealers",http://singapore-companies-directory.com/Company_Profiles/C5/c_v_henri_rattan.htm,"Rattan, Reed, Willows Furniture  Manufacturers, Furniture Stores, Furniture Dealers,  Home Furnishings",,(+65) 6383-1882,,,,,565 MacPherson Rd #02-00  Singapore,singapore-companies-directory.com,,,Offline
C.S. Seating & Contract (S) Pte Ltd,"Singapore Office Furniture Company Suppliers of Ergonomic Office Chairs, Seating, Ergonomic Chairs, Leather Chairs, Classic Chairs, Executive Chairs, Secretary Chairs, PU Moulded Chairs, Public Seating",http://singapore-companies-directory.com/Company_Profiles/C6/c_s_seating_contract.htm,"Office Furniture, Ergonomic Office  Chairs, Seating, Ergonomic Chairs, Leather Chairs, Classic  Chairs, Executive Chairs, Secretary Chairs, PU Moulded  Chairs, Public Seating",,(+65) 6256-3631,(+65) 6355-1294,A.S. Tan Managing Director,csscs@singnet.com.sg,,"Blk 12, Lorong 8, #01-1195 Toa Payoh Industrial  Park  Singapore 319064",singapore-companies-directory.com,Managing Director,A.S. Tan,Online
Cards n Such Pte Ltd,"Singapore Gift shop Suppliers of Baby Furniture, Cards n Such stock wide selection of gifts, home accessories, infant furniture, greeting cards and novelties.",http://singapore-companies-directory.com/Company_Profiles/C16/cards_n_such.htm,"Greetings Cards, Giftware, Gifts, Gift  Shops",,(+65) 6734-9+657,,,,,"160 paya lebar, # 07-04 Orion @Paya Lebar  Singapore",singapore-companies-directory.com,,,Offline
Carlmey Interior Furnishing Company,"Singapore Furnishings Company, furniture maker, specialising in upholstery products, project contracting, dealing mostly with interior upgrading of hospitality and F&B premises as well as hospitals and retail outlets.",http://singapore-companies-directory.com/Company_Profiles/C17/carlmey_interior.htm,"Furniture, Upholstery, Hotel Supplies,  Hotel Equipment",,(+65) 6742-6+656 (+65) 6749-4767,(+65) 6749-6961,Philip Tan General Manager,carlmey@singnet.com.sg,,3016 Bedok Nth Ave 4 #02-28 Eastech  Singapore,singapore-companies-directory.com,General Manager,Philip Tan,Online
Carlo Hofmann Pte Ltd,"Singapore Sofa Manufacturers, Our Sofas using solid plywood, meranti wood frames. Carlo Hofmann Sofas are from Europe, our Sofas fabric are made in Belgium origin, the tenderness of cloth is often the favorite of both designers and users.",http://singapore-companies-directory.com/Company_Profiles/C17/carlo_hofmann.htm,"Sofa Furniture Manufacturers, Furniture  Stores, Furniture Dealers, Home Furnishings",,(+65) 6363-0268,(+65) 6269-6707,,carlohofmann.sofas@gmail.com,,62 Sungei Kadut Loop #03-18 International Furniture  Centre  Singapore 729507,singapore-companies-directory.com,,,Online
Carsten Ovesen Design,"Singapore Furniture Designers, Fabric Designs. Carsten Ovesen, a Denmark born designer who specializes in furniture design and furniture fabrics, has been residing in Singapore since 1990.",http://singapore-companies-directory.com/Company_Profiles/C19/carsten_ovesen_design.htm,"Furniture Designers, Fabric Designs",,(+65) 6246-2823,(+65) 6245-2825,Carsten Ovesen Managing Director,ovesen@singnet.com.sg,,No.50 Bayshore Road #28-05  Singapore 469977,singapore-companies-directory.com,Managing Director,Carsten Ovesen,Online
Casa Italy Sofa Manufacturer Pte Ltd,"Singapore Furniture Wholesalers, Furniture Manufacturers, Furniture Distributors, Furniture Suppliers. A reputable sofa manufacturer specializing in high quality leather sofas with innovative design for the local market",http://singapore-companies-directory.com/Company_Profiles/C20/casa_italy_sofa.htm,Furniture Manufacturers,,(+65) 6758-3310 (+65) 6747-4387,(+65) 6758-4381 (+65) 6747-1492,,casaitaly@hotmail.com,,152 Paya Lebar Road #01-02 Citipoint Industgrial  Complex  Singapore 409020,singapore-companies-directory.com,,,Online
Casarredo Abundance Marketing,"Singapore Furniture Manufacturers, Furniture Stores, Furniture Dealers. Vast experience in upholstery furniture, manufacturing high quality and affordable sofas to the consumer market",http://singapore-companies-directory.com/Company_Profiles/C20/casarredo_abundance_marketing.htm,"Furniture Manufacturers, Furniture  Stores, Furniture Dealers",,(+65) 6444-7789,(+65) 6444-2922,Clifford See Director,clifford@casarredo.com.sg,,10 Anson Road #05-16 International Plaza  Singapore 079903,singapore-companies-directory.com,Director,Clifford See,Online
Cathay Interiors Pte Ltd,"Singapore Interior Designers, Interior Design Consultants, Home Furnishings, Furniture. A manufacturer of quality custom-designed furniture. Project management, fit out works and occupancy-related services for hotels, financial institutions and major corporations.",http://singapore-companies-directory.com/Company_Profiles/C22/cathay_interiors.htm,"Interior Designers, Interior Design  Consultants, Home Furnishings, Furniture",,(+65) 6747-2510,(+65) 6747-2621,Daniel Loo Regional Managing Director,inquiries@cathayinteriors.com,,178 Paya Lebar Road #07-01  Singapore 409030,singapore-companies-directory.com,Regional Managing Director,Daniel Loo,Online
CEFLA Asia Pte Ltd,"Singapore Buying Agents, Product Sourcing, Manufacturers Agents, Manufacturing Representatives, Building Materials, Construction Materials, Furniture, Kitchen Furniture, Bathroom Furniture, Office Furniture, Parquet Laminate Hardwood, Hotel furnishings, Boat furnishings, Solar Panels, Electronics & appliances Automotive products, Aerospace products, Architectural products, Window shutters & blinds Foils & Edgebanding Injection molded parts PVC extrusions, Printing Finishing Drying & Impregnation Chemicals",http://singapore-companies-directory.com/Company_Profiles/C24/cefla_asia.htm,"Buying Agents, Product Sourcing,  Manufacturers Agents, Manufacturing Representatives",,(+65) 6742-3135 (+65) +6566-5255,(+65) 6742-2315 (+65) +6566-5740,Lawrence Wang,cefla_asia@pacific.net.sg,,"BLK 2, BUKIT BATOK ST 24 UNIT 06-04, SKYTECH  Singapore 659480",singapore-companies-directory.com,,Lawrence Wang,Online
Cellini Design Center Pte Ltd,"Singapore manufacturers of a large range of furniture and accessories to satisfy a wide spectrum of styles, ranging from Italian contemporary to modern classic. Bedroom Furniture, Dining Furniture, Living Furniture, Occasional Furniture, Upholstered Furniture, coffee tables, sofas, armchairs, beds",http://singapore-companies-directory.com/Company_Profiles/C25/cellini_design_center.htm,"Bedroom Furniture, Dining Furniture,  Living Furniture, Occasional Furniture, Upholstered  Furniture,",,(+65) +6545-8182,(+65) +6545-00+65,C.S. Yong Business Development Director,alan@cellini.com.sg,,53 Loyang Drive Singapore 508957,singapore-companies-directory.com,Business Development Director,C.S. Yong,Online
Central Iron Furnishing Factory Pte Ltd,"Singapore Manufactures & exporters of Steel Furniture, Steel Beds, Steel Chairs and Steel deck chairs",http://singapore-companies-directory.com/Company_Profiles/C26/central_iron_furnishing_factory.htm,"Steel Furniture, Steel Beds, Steel Chairs",,(+65) 6482-5030,(+65) 6482-5064,Thomas Ng Executive Director,sales@central-iron.com.sg,,Blk 5047 Ang Mo Kio Industrial Park 2  #01-599/601/603  Singapore 569550,singapore-companies-directory.com,Executive Director,Thomas Ng,Online
CH Global Pte Ltd,"Singapore Manufactures & trading of rattan & cane products, all kinds of furniture & furnishing, rattan wicker, bamboo, basketry, international trading & manufacturer's representative",http://singapore-companies-directory.com/Company_Profiles/C29/ch_global.htm,"Rattan Furniture, Wicker Furniture,  Bamboo Furniture, Basketry",,(+65) 6284-+65+65,(+65) 6284-4988,Joanna Poh Admin Manager,info@ch.com.sg,,18 Defu Lane 1 Defu Industrial Estate  Singapore 539491,singapore-companies-directory.com,Admin Manager,Joanna Poh,Online
Chairmaster Pte Ltd,"Singapore Office Furniture & Office Equipment Wholesalers, Manufacturers, Distributors, Suppliers. Contract Decorating Services, Interior Decorating Services, Home Furnishings, Interior Design Consultants, Interior Designers",http://singapore-companies-directory.com/Company_Profiles/C30/chairmaster.htm,"Interior Decorating Services, Home  Furnishings, Interior Design Consultants, Interior Designers",,(+65) 6748-1788,(+65) 7480-007,,,,5 Eunos Ave 8A  Singapore 409459,singapore-companies-directory.com,,,Offline
Chan Pui Kee & Co,"Singapore Blackwood furniture specialist, dealer & restorer Antiques, Sculptures, Art Shops",http://singapore-companies-directory.com/Company_Profiles/C32/chan_pui_kee.htm,"Antiques, Sculptures, Art Shops, Art  Galleries",,(+65) 6749-4806,,Chan Hong Cheong Proprietor,,,26 Lorong 24A Geylang  Singapore 398550,singapore-companies-directory.com,Proprietor,Chan Hong Cheong,Offline
Chaplin Design Pte Ltd,"Singapore Interior design consultancy firm specialises in space planning and design conceptualisation of offices, labs, retail outlets, institutes, residences Suppliers of Furniture, Accessories, Bedroom Furniture, Dining Furniture, Living Room Furniture, Office Furniture, Interior Decorations",http://singapore-companies-directory.com/Company_Profiles/C35/chaplin_design.htm,"Furniture, Accessories, Bedroom, Dining,  Living, Office, Interior Decoration",,(+65) 6252-5255,(+65) 6250-5255,,admin@chaplindesign.com,,2 Toa Payoh Lor 8 #01-1401 Industrial Park  Singapore 319054,singapore-companies-directory.com,,,Online
Che Lin Kee Rattan & Cane Manufacturing Company,"Singapore Furniture Manufacturers, Furniture Stores, Furniture Dealers, Suppliers of Rattan Home Furnishings Rattan Furniture, Reed Furniture, Cane Furniture",http://singapore-companies-directory.com/Company_Profiles/C38/che_lin_kee.htm,"Rattan Furniture, Reed Furniture, Cane  Furniture",,(+65) 6743-6800 (+65) 6745-6283,(+65) 6745-6289,,,,Blk 1034 Eunos Ave 5 #01-44  Singapore,singapore-companies-directory.com,,,Offline
Chelinco Pte Ltd,"Singapore Rattan Furniture Manufacturer, Trading Company, Suppliers of Rattan Furniture, Cane Furniture, Rattan Chairs, Rattan Tables, Chairs, Tables, Synthetic Cane Furniture, Aluminum Furniture, Cafe Furniture, Outdoor Furniture. Our quality products can be found in renowned establishment like the Shangri-La Hotel, Raffles Hotel, The Sheraton Hotel, Traders Hotel, Tanah Merah Country Club and many others in Singapore and abroad.",http://singapore-companies-directory.com/Company_Profiles/C40/chelinco.htm,"Rattan Furniture, Cane Furniture, Rattan  Chairs, Rattan Tables",,(+65) 9451-7218,(+65) 6468-8662,,furniture@chelinco.com,,"No. 27, Mandai Estate #03-12, Innovation Place  Tower 2  Singapore 729931",singapore-companies-directory.com,,,Online
Cheng Furniture Company Singapore,"Singapore Building Contractors, Construction Contractors, Renovation Contractors, Interior Decorating Services, Furniture Design, Home Furnishings",http://singapore-companies-directory.com/Company_Profiles/C42/cheng_furniture.htm,"Building Contractors, Construction  Contractors, Renovation Contractors, Interior Decorating  Services",,(+65) 6741-5138,(+65) 6743-1859,,,,113 Eunos Ave 3 #05-07 Gordon Industrial Building  Singapore 409838,singapore-companies-directory.com,,,Offline
Cheong Cheng Renovation & Carpentry Work,"Singapore Interior Designers, Interior Design Consultants, Interior Decoration Contractors, Interior Decorators. Renovation and carpentry work company with more than 30 years experience in furniture and interior decoration services",http://singapore-companies-directory.com/Company_Profiles/C44/cheong_cheng.htm,"Interior Designers, Interior Design  Consultants, Interior Decoration Contractors,  Interior Decorators",,(+65) 6367-6763,(+65) 6367-6763,,contact@cheongcheng.com,,38 Woodlands Industrial Park E1  Singapore 757700,singapore-companies-directory.com,,,Online
Cheong & Mun,"Singapore Furniture Company deals in re-upholstery & repair of sofas & cushions, leather & superior fabric sofas, dining chair cushions & covers, vehicle seats & cushions, custom-built office sofas, Furnishings, Office Furniture, Leather Sofas",http://singapore-companies-directory.com/Company_Profiles/C44/cheong_mun.htm,"Furnishings, Office Furniture, Leather  Sofas",,(+65) 6298-3180 (+65) 8118-9666,,,david@sofarepair.com.sg,http://www.carseat.com.sg/,"1017 Yishun Industrial Park A, #01-230  Singapore 768759",singapore-companies-directory.com,,,Online
Chin Tian Furniture,"Singapore Contemporary Furniture Designers, Furniture Manufacturers, Furniture Stores, Furniture Dealers, Home Furnishings, Wholesalers, Manufacturers, Distributors, Suppliers",http://singapore-companies-directory.com/Company_Profiles/C53/chin_tian_furniture.htm,"Contemporary Design Furniture  Manufacturers, Furniture Stores, Furniture  Dealers, Home Furnishings",,(+65) 6368-2576,,,,,5 Sungei Kadut Street 8  Singapore 728955,singapore-companies-directory.com,,,Offline
Chin Yi Building Contractors,"Singapore Furniture Contractors, Construction Contractors, Renovation Contractors, Furniture Wholesalers, Furniture Manufacturers, Furniture Distributors, Furniture Suppliers",http://singapore-companies-directory.com/Company_Profiles/C54/chin_yi_building.htm,"Furniture Contractors, Construction  Contractors, Renovation Contractors",,(+65) 6367-3189,(+65) 6368-6282,,,,6 Sg Kadut St 5  Singapore,singapore-companies-directory.com,,,Offline
Chng Woodworking Pte Ltd,"Singapore Furniture Manufacturing Company Suppliers of Doors, Wooden Flooring, Building Materials, Construction Materials. A specialist manufacturer of timber products for the local and export markets. Our products comprise of three main categories - doors, furniture and flooring. In addition to the manufacturing of timber products",http://singapore-companies-directory.com/Company_Profiles/C59/chng_woodworking.htm,"Furniture Manufacturing, Doors, Wooden  Flooring, Building  Materials, Construction Materials",,(+65) 6368-7260 (+65) 6368-4441,(+65) 6368-4447 (+65) 6368-4441,,sales@chngwood.com,,4 Sungei Kadut Street 2  Singapore 729226,singapore-companies-directory.com,,,Online
Chuan Bee Hoe Kee Co,"Singapore Furniture Manufacturing Company Furniture Stores, Furniture Dealers. Suppliers of Chairs, Children's Furniture",http://singapore-companies-directory.com/Company_Profiles/C69/chuan_bee_hoe_kee.htm,"Chairs, Furniture Manufacturers,  Furniture Stores, Furniture Dealers",,(+65) 6747-1968,(+65) 6747-1968,,,,"2 Geylang Square, #01-213a #02-14  Singapore 389169",singapore-companies-directory.com,,,Offline
Chuan Lam Production,"Singapore Event Managers, Exhibition Organizing Company Suppliers of Chairs, Tables, Rental, Signcraft Installation. Our products includes, carpeting, kabuki system that use for launching or opening ceremony, Pipes & Drapes that can use to divide rooms, for curtain or changing room purposes. We also have furniture that can beautify event venues, use for wedding and parties, as well as conferences.",http://singapore-companies-directory.com/Company_Profiles/C70/chuan_lam_production.htm,"Chairs, Tables, Rental, Signcraft  Installation, Event Managers, Exhibition Organisers",,(+65) 6742-9360 (+65) 9743-2423,(+65) 6447-8678 (+65) 6447-8678,Sim Chuan Lam,simchuanlam@yahoo.com.sg,,32 Punggol East Unit 4  Singapore 828824,singapore-companies-directory.com,,Sim Chuan Lam,Online
Chun Engineering Pte Ltd,"Singapore Engineering Company provides general contract works and custom made of various metal products. Suppliers of Heavy Duty Metal Cages, Mild Steel HD Cages, Fabricate of Heavy Duty Metal Cages, Mild Steel HD Cages, Stainless Steel Water Dispensers, Stainless Steel Booths, Stainless Steel Cages, Stainless Steel Square Tables, Stainless Steel Round Tables, Stainless Steel Folding Chairs, Stainless Steel Pots",http://singapore-companies-directory.com/Company_Profiles/C72/chun_engineering.htm,"Heavy Duty Metal Cage, Metal Products",,(+65) 6241-2969,(+65) 6241-2739,,ales@chun-engrg.com,,621 Aljuneid Rd #01-15  Singapore 389834,singapore-companies-directory.com,,,Online
Chun Mee Lee Rattan Furniture,"Singapore Rattan Furniture Company Suppliers of Cane Goods, Cane Furniture, Furniture Design, Furnishing Services, Furniture Restoration, Furniture Repair Services, Rattan Furniture",http://singapore-companies-directory.com/Company_Profiles/C72/chun_mee_lee_rattan_furniture.htm,"Furniture Manufacturers, Furniture  Stores, Furniture Dealers, Home Furnishings",,(+65) 6278-2388,(+65) 6272-3772,,,,"122 Bukit Merah Lane 1, #01-68  Singapore 150122",singapore-companies-directory.com,,,Offline
Chy Chin Furniture,"Singapore Furniture Manufacturers, Singapore Furniture Stores, Singapore Furniture Dealers, Suppliers of Furniture and Home Furnishings",http://singapore-companies-directory.com/Company_Profiles/C75/chy_chin_furniture.htm,"Furniture Manufacturers, Furniture  Stores, Furniture Dealers, Home Furnishings",,(+65) 6268-0722,(+65) 6268-0722,,,,24 Penjuru Rd  Singapore 609128,singapore-companies-directory.com,,,Offline
Chye Huat Heng Furniture,"Singapore Furniture Design, Furniture Consultancy, Furniture Services, Furnishing Services, Home Furnishings, Office Furnishing, Office Furniture Installation, Office Furniture Assembly Services, Office Refurbishment Contractors, Renovation Contractors",http://singapore-companies-directory.com/Company_Profiles/C75/chye_huat_heng_furniture.htm,"Furniture Manufacturers, Furniture  Stores, Furniture Dealers",,(+65) 6269-5700,(+65) 6269-5700,,,,"4016 Ang Mo Kio Industrial Park 1, #01-510  Singapore 569632",singapore-companies-directory.com,,,Offline
Chye Hup Huat Co Sawmill Pte Ltd,"Singapore Sawmilling Services, Plywood, MDF, Chipboard, Blockboard, Timber Logs, Squares, Post and Sawn Timbers Business, Balau, Chengal, Flat Pack Furniture, Furniture Fittings, Furniture Manufacturing Equipment, Furniture Services, Hardwoods, Kapur",http://singapore-companies-directory.com/Company_Profiles/C75/chye_hup_huat_co_sawmill.htm,"Moulding, Sawmilling Services, Plywood,  MDF, Chipboard, Blockboard, Wood Products, Timber, Lumber",,(+65) 6269-5700,(+65) 6367-8457,Lim Sin Ming,chh1954@chhs.com.sg,,5 Sungei Kadut St 5  Singapore 728953,singapore-companies-directory.com,,Lim Sin Ming,Online
Chye Hup Joo & Co,"Singapore Furniture Rental Company Suppliers of Wooden Boxes, Chairs & Tables",http://singapore-companies-directory.com/Company_Profiles/C75/chye_hup_joo.htm,"Wooden Boxes, Chairs & Tables - Rental",,(+65) +6560-9220,(+65) 6482-6077 (+65) +6560-9220,,,,Block 5070 Ang Mo Kio Industrial Park 2 #01-1503  Singapore 569573,singapore-companies-directory.com,,,Offline
Chye Seng Furniture,"Singapore Furniture Manufacturers, Furniture Stores, Furniture Dealers, Furniture Design, Furniture Services, Kitchen Units, Office Furnishing, Office Furniture, Office Furniture Installation, Office Furniture Assembly Services",http://singapore-companies-directory.com/Company_Profiles/C76/chye_seng_furniture.htm,"Furniture Manufacturers, Furniture  Stores, Furniture Dealers, Home Furnishings",,(+65) 6269-7373,(+65) 6269-7373,,,,"4 Marsiling Industrial Estate Road 3, #01-26  Singapore 739250",singapore-companies-directory.com,,,Offline
D'Associates Construction Pte Ltd,"Singapore Building Contractors, Construction Contractors, Renovation Contractors, Blinds, Construction, Furniture Services, Furnishing Services, Residential Building Contractors, Venetian Blinds",http://singapore-companies-directory.com/Company_Profiles/D1/d_associates.htm,"Building Contractors, Construction  Contractors, Renovation Contractors",,(+65) 6785-7138,(+65) 6785-4467,,dassociates@pacific.net.sg,,9003 Tampines Street 93 #01-180  Singapore 528837,singapore-companies-directory.com,,,Online
D'Furn Pte Ltd,"Singapore Furniture Company, Furniture Manufacturers, Furniture Stores, Furniture Dealers. Suppliers of Office Furnishings, Office Furniture, , Home Furnishings, Contemporary Design Furniture, Furnishing Services",http://singapore-companies-directory.com/Company_Profiles/D1/d_furn.htm,"Office Furnishings, Office Furniture,  Furniture Manufacturers, Furniture Stores, Furniture  Dealers, Home Furnishings",,(+65) 6476-1788,(+65) 6472-5827,,,,"6 Lock Road, Gillman Village  Singapore 108934",singapore-companies-directory.com,,,Offline
D'zign Spectrum & Contracts,"Singapore Interior Design Consultancy, Interior Designers, Interior Planners, Office Furnishings, Office Furniture Installation, Office Refurbishment Contractors, Pipeline Maintenance, Pipeline Repair, Renovation Contractors",http://singapore-companies-directory.com/Company_Profiles/D1/d_zign_spectrum_contracts.htm,"Building Contractors, Renovation  Contractors, Interior Designers, Interior Design  Consultants, Home Furnishings, Interior Decoration  Contractors, Interior Decorators",,(+65) 6481-6846,(+65) 6481-4211,,,,"6025 Ang Mo Kio Industrial Park 3, #04-64  Singapore 569477",singapore-companies-directory.com,,,Offline
D.Y Construction & Production Pte Ltd,"Singapore Events Promotion, Event Managers, Exhibition Organisers, Interior Decorating Services, Directory Display Boards, Display Designers, Display Producers, Display Suppliers, Display Systems, Event Decorating Services, Event Management, Flags, Furniture Design, Furnishing Services, Interior Design Consultancy, Interior Designers, Interior Planners, Lighting, Outdoor Advertising, Party Event Organizing, Party Planning, Party Supplies, Plastic Signs, Screen Printing Equipment Supplies, Sign Systems, Silk Screen Printing, Stages, Store Fitting Lighting, Wedding Services, Wedding Supplies, Wood Signs",http://singapore-companies-directory.com/Company_Profiles/D1/dy_construction_production.htm,"Events Promotion, Event Managers,  Exhibition Organisers, Interior Decoration Contractors,  Interior Decorators, Interior Designers, Interior Design  Consultants, Building Contractors, Construction Contractors",,(+65) 63+65-4753,(+65) 63+65-8308,,,,17 Sungei Kadut Way  Singapore 728776,singapore-companies-directory.com,,,Offline
